[2025-08-19 00:32:44.800] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-19 00:32:45.449] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-19 00:32:46.097] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"13ylro8dy443m52qxwrxm9zis"}}
[2025-08-19 01:13:03.798] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":336,"TS":"2025-08-18T20:43:02.563","TID":1,"PID":1,"M":40,"S":57,"PLID":80801,"PLUUID":"ceerfv28fygp7m2euv5n5uu39","PN":"I. Gueye","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":70.5,"Y":78.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["64.7"]},{"I":141,"V":["89.8"]},{"I":212,"V":["10.01928"]},{"I":213,"V":["2.224119"]},{"I":318,"V":["0.00026464"]}]}}}
[2025-08-19 01:13:06.402] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":337,"TS":"2025-08-18T20:43:03.554","TID":1,"PID":1,"M":40,"S":58,"PLID":215413,"PLUUID":"2bkp1lcaxmvwoanxwo0775cdl","PN":"K. Dewsbury-Hall","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":64.7,"Y":89.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["51.6"]},{"I":141,"V":["66.8"]},{"I":212,"V":["20.8281"]},{"I":213,"V":["3.99103"]},{"I":318,"V":["0.00013792"]}]}}}
[2025-08-19 01:13:09.392] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":338,"TS":"2025-08-18T20:43:06.226","TID":1,"PID":1,"M":41,"S":1,"PLID":106611,"PLUUID":"6og6s61vrg51rfqxk9cipylzp","PN":"M. Keane","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":52.1,"Y":60.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["52.2"]},{"I":141,"V":["41.3"]},{"I":212,"V":["13.19242"]},{"I":213,"V":["4.720348"]},{"I":318,"V":["0.00013603"]}]}}}
[2025-08-19 01:13:10.794] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":339,"TS":"2025-08-18T20:43:09.74","TID":1,"PID":1,"M":41,"S":4,"PLID":17761,"PLUUID":"35jaxclh329duzefna708jk5x","PN":"J. Tarkowski","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":52.2,"Y":41.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["46.9"]},{"I":141,"V":["59.7"]},{"I":212,"V":["13.81814"]},{"I":213,"V":["1.985295"]},{"I":318,"V":["0.00007088"]}]}}}
[2025-08-19 01:13:14.209] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":340,"TS":"2025-08-18T20:43:10.594","TID":1,"PID":1,"M":41,"S":5,"PLID":106611,"PLUUID":"6og6s61vrg51rfqxk9cipylzp","PN":"M. Keane","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":46.9,"Y":59.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["56.3"]},{"I":141,"V":["82.3"]},{"I":212,"V":["18.26451"]},{"I":213,"V":["0.9998931"]},{"I":318,"V":["0.0001175"]}]}}}
[2025-08-19 01:13:22.657] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":341,"TS":"2025-08-18T20:43:14.51","TID":1,"PID":1,"M":41,"S":9,"PLID":80801,"PLUUID":"ceerfv28fygp7m2euv5n5uu39","PN":"I. Gueye","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":55.6,"Y":80.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["36.8"]},{"I":141,"V":["63.8"]},{"I":212,"V":["22.87578"]},{"I":213,"V":["3.671366"]},{"I":318,"V":["0.0000229"]}]}}}
[2025-08-19 01:13:26.905] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":342,"TS":"2025-08-18T20:43:22.466","TID":1,"PID":1,"M":41,"S":17,"PLID":106611,"PLUUID":"6og6s61vrg51rfqxk9cipylzp","PN":"M. Keane","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":31.9,"Y":65.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["17.7"]},{"I":141,"V":["43.7"]},{"I":212,"V":["21.12131"]},{"I":213,"V":["3.928665"]},{"I":318,"V":["0.00000158"]}]}}}
[2025-08-19 01:13:29.508] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":343,"TS":"2025-08-18T20:43:26.642","TID":1,"PID":1,"M":41,"S":21,"PLID":111234,"PLUUID":"e8dina16u5kt5ho4u5igtmimt","PN":"J. Pickford","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":17.7,"Y":43.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["23.3"]},{"I":141,"V":["22.1"]},{"I":212,"V":["15.82124"]},{"I":213,"V":["5.093177"]},{"I":318,"V":["0.0000016"]}]}}}
[2025-08-19 01:13:32.648] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":344,"TS":"2025-08-18T20:43:29.266","TID":1,"PID":1,"M":41,"S":24,"PLID":17761,"PLUUID":"35jaxclh329duzefna708jk5x","PN":"J. Tarkowski","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":23.7,"Y":20.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.5"]},{"I":141,"V":["1.9"]},{"I":212,"V":["16.30509"]},{"I":213,"V":["5.395348"]},{"I":318,"V":["0.00000315"]}]}}}
[2025-08-19 01:13:33.906] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":345,"TS":"2025-08-18T20:43:32.419","TID":1,"PID":1,"M":41,"S":27,"PLID":512462,"PLUUID":"8u5vfczmsnklqp9bpilrbvy8k","PN":"J. O'Brien","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":33.5,"Y":1.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["45.7"]},{"I":141,"V":["18.5"]},{"I":212,"V":["17.07381"]},{"I":213,"V":["0.7223232"]}]}}}
[2025-08-19 01:13:34.106] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":457,"TS":"2025-08-18T20:43:33.807","TID":49,"PID":1,"M":41,"S":29,"PLID":222694,"PLUUID":"b275i2lg3anqae5lv9gmrzmqx","PN":"P. Struijk","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":58.2,"Y":81.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-19 01:13:41.756] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":458,"TS":"2025-08-18T20:43:36.239","TID":1,"PID":1,"M":41,"S":31,"PLID":222694,"PLUUID":"b275i2lg3anqae5lv9gmrzmqx","PN":"P. Struijk","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":60.5,"Y":78.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["67.3"]},{"I":141,"V":["98.6"]},{"I":212,"V":["15.30015"]},{"I":213,"V":["1.085283"]},{"I":318,"V":["0.0001744"]}]}}}
[2025-08-19 01:13:43.406] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":459,"TS":"2025-08-18T20:43:41.616","TID":1,"PID":1,"M":41,"S":36,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":71.9,"Y":91.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["71.3"]},{"I":141,"V":["78.8"]},{"I":212,"V":["8.794594"]},{"I":213,"V":["4.640693"]},{"I":318,"V":["0.00080655"]}]}}}
[2025-08-19 01:13:45.614] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":460,"TS":"2025-08-18T20:43:43.279","TID":1,"PID":1,"M":41,"S":38,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":70.3,"Y":84.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["75"]},{"I":141,"V":["97.1"]},{"I":212,"V":["9.71137"]},{"I":213,"V":["1.037741"]},{"I":318,"V":["0.00035125"]}]}}}
[2025-08-19 01:13:46.747] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":461,"TS":"2025-08-18T20:43:45.367","TID":1,"PID":1,"M":41,"S":40,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":75,"Y":97.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["68.5"]},{"I":141,"V":["94.7"]},{"I":212,"V":["7.01741"]},{"I":213,"V":["3.376306"]},{"I":318,"V":["0.00022076"]}]}}}
[2025-08-19 01:13:49.654] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":462,"TS":"2025-08-18T20:43:46.479","TID":1,"PID":1,"M":41,"S":41,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":68.4,"Y":94.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["72.2"]},{"I":141,"V":["80.6"]},{"I":212,"V":["10.07202"]},{"I":213,"V":["5.119706"]},{"I":318,"V":["0.00074577"]}]}}}
[2025-08-19 01:13:50.714] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":463,"TS":"2025-08-18T20:43:49.375","TID":1,"PID":1,"M":41,"S":44,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":71.4,"Y":84.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["74.9"]},{"I":141,"V":["98.3"]},{"I":212,"V":["10.3317"]},{"I":213,"V":["1.207132"]},{"I":318,"V":["0.00033321"]}]}}}
[2025-08-19 01:13:56.075] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":464,"TS":"2025-08-18T20:43:50.591","TID":1,"PID":1,"M":41,"S":45,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":74.9,"Y":98.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["68.6"]},{"I":141,"V":["90.9"]},{"I":212,"V":["8.311393"]},{"I":213,"V":["3.791904"]},{"I":318,"V":["0.00028314"]}]}}}
[2025-08-19 01:13:56.876] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":465,"TS":"2025-08-18T20:43:55.839","TID":1,"PID":1,"M":41,"S":51,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":61.1,"Y":91.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["51.9"]},{"I":141,"V":["73.9"]},{"I":212,"V":["15.22193"]},{"I":213,"V":["4.024885"]},{"I":318,"V":["0.00010059"]}]}}}
[2025-08-19 01:13:58.343] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":466,"TS":"2025-08-18T20:43:56.695","TID":1,"PID":1,"M":41,"S":51,"PLID":214225,"PLUUID":"otan631zzfnq2sektkl3ywo9","PN":"J. Rodon","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":51.9,"Y":73.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["48.7"]},{"I":141,"V":["87.2"]},{"I":212,"V":["9.647981"]},{"I":213,"V":["1.92651"]},{"I":318,"V":["0.00003896"]}]}}}
[2025-08-19 01:14:02.885] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":467,"TS":"2025-08-18T20:43:58.175","TID":1,"PID":1,"M":41,"S":53,"PLID":222694,"PLUUID":"b275i2lg3anqae5lv9gmrzmqx","PN":"P. Struijk","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":48.7,"Y":87.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["58.3"]},{"I":141,"V":["98"]},{"I":212,"V":["12.4716"]},{"I":213,"V":["0.6296452"]},{"I":318,"V":["0.0000574"]}]}}}
[2025-08-19 01:14:09.504] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":417,"TS":"2025-08-18T20:38:16.385","TID":15,"PID":1,"M":36,"S":11,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":77.8,"Y":47.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":233,"V":["285"]},{"I":372,"V":["4z1mntz3b8btxof9k6grw9uhl"]},{"I":25,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":102,"V":["50.9649834685903"]},{"I":103,"V":["19"]},{"I":215,"V":["NULL"]},{"I":108,"V":["NULL"]},{"I":321,"V":["0.0214"]},{"I":328,"V":["NULL"]},{"I":327,"V":["3"]},{"I":326,"V":["2"]},{"I":458,"V":["NULL"]},{"I":82,"V":["NULL"]},{"I":146,"V":["79.9326923076923"]},{"I":147,"V":["48.1944444444444"]},{"I":230,"V":["97.9759615384615"]},{"I":231,"V":["49.6388888888889"]}]}}}
[2025-08-19 01:14:10.900] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":468,"TS":"2025-08-18T20:44:02.607","TID":1,"PID":1,"M":41,"S":57,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":53,"Y":96.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["17.7"]},{"I":141,"V":["70.5"]},{"I":212,"V":["41.154"]},{"I":213,"V":["3.591146"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00000265"]}]}}}
[2025-08-19 01:14:11.700] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":469,"TS":"2025-08-18T20:44:10.568","TID":1,"PID":1,"M":42,"S":5,"PLID":201595,"PLUUID":"dve7yj8usejn9x7pmdjvozje1","PN":"Lucas Perri","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":17.7,"Y":70.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["59.5"]},{"I":141,"V":["89.6"]},{"I":212,"V":["45.77139"]},{"I":213,"V":["0.287711"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-19 01:14:12.907] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":346,"TS":"2025-08-18T20:44:11.459","TID":1,"PID":1,"M":42,"S":6,"PLID":512462,"PLUUID":"8u5vfczmsnklqp9bpilrbvy8k","PN":"J. O'Brien","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":43.7,"Y":10.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["60.3"]},{"I":141,"V":["12.3"]},{"I":212,"V":["17.47782"]},{"I":213,"V":["0.07398976"]}]}}}
[2025-08-19 01:14:13.507] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":470,"TS":"2025-08-18T20:44:12.983","TID":1,"PID":1,"M":42,"S":8,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":42.5,"Y":90.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["39.2"]},{"I":141,"V":["89.6"]},{"I":212,"V":["3.518632"]},{"I":213,"V":["3.316413"]}]}}}
[2025-08-19 01:14:14.308] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":347,"TS":"2025-08-18T20:44:14.82","TID":61,"PID":1,"M":42,"S":9,"PLID":502697,"PLUUID":"18qxb54ol1s4mtgl7n3224ciy","PN":"C. Alcaraz","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":60.3,"Y":12.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]}]}}}
[2025-08-19 01:14:16.768] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":471,"TS":"2025-08-18T20:44:14.919","TID":1,"PID":1,"M":42,"S":10,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":40.4,"Y":94.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["44.1"]},{"I":141,"V":["77.6"]},{"I":212,"V":["11.87357"]},{"I":213,"V":["5.045725"]},{"I":318,"V":["0.0000227"]}]}}}
[2025-08-19 01:14:20.312] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":348,"TS":"2025-08-18T20:44:19.890","TID":44,"PID":1,"M":42,"S":15,"PLID":232928,"PLUUID":"15948izygnu32cu1pw6h5wp9l","PN":"J. Garner","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":26.8,"Y":78.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-19 01:14:20.706] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":472,"TS":"2025-08-18T20:44:16.545","TID":1,"PID":1,"M":42,"S":11,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":46.5,"Y":75.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":196,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["71.1"]},{"I":141,"V":["12.9"]},{"I":212,"V":["49.84995"]},{"I":213,"V":["5.257082"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00068959"]}]}}}
[2025-08-19 01:14:23.372] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":473,"TS":"2025-08-18T20:44:20.423","TID":44,"PID":1,"M":42,"S":15,"PLID":200617,"PLUUID":"dkwkmrmpb7rq4e660efcu5hat","PN":"D. James","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":71.1,"Y":12.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 01:14:23.590] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":474,"TS":"2025-08-18T20:44:23.119","TID":3,"PID":1,"M":42,"S":18,"PLID":200617,"PLUUID":"dkwkmrmpb7rq4e660efcu5hat","PN":"D. James","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":76.7,"Y":9.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 01:14:24.572] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":349,"TS":"2025-08-18T20:44:23.698","TID":7,"PID":1,"M":42,"S":18,"PLID":232928,"PLUUID":"15948izygnu32cu1pw6h5wp9l","PN":"J. Garner","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":17.5,"Y":86.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":167,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-19 01:14:24.984] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":475,"TS":"2025-08-18T20:44:23.879","TID":5,"PID":1,"M":42,"S":19,"PLID":200617,"PLUUID":"dkwkmrmpb7rq4e660efcu5hat","PN":"D. James","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":78.9,"Y":-1.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 01:14:27.189] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":350,"TS":"2025-08-18T20:44:24.290","TID":5,"PID":1,"M":42,"S":19,"PLID":232928,"PLUUID":"15948izygnu32cu1pw6h5wp9l","PN":"J. Garner","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":18.6,"Y":101.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 01:14:59.627] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":432,"TS":"2025-08-18T20:39:25.121","TID":15,"PID":1,"M":37,"S":20,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":85.9,"Y":70.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":320,"V":["4"]},{"I":233,"V":["295"]},{"I":372,"V":["6qnjq6li7hqxm578o6haysost"]},{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":64,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":102,"V":["51.197651978128"]},{"I":103,"V":["19"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.0379"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":458,"V":["NULL"]},{"I":82,"V":["NULL"]},{"I":146,"V":["88.8894230769231"]},{"I":147,"V":["66.25"]},{"I":230,"V":["98.8846153846154"]},{"I":231,"V":["51.9861111111111"]}]}}}
[2025-08-19 01:15:01.805] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":351,"TS":"2025-08-18T20:45:00.306","TID":12,"PID":1,"M":42,"S":55,"PLID":215413,"PLUUID":"2bkp1lcaxmvwoanxwo0775cdl","PN":"K. Dewsbury-Hall","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":13.3,"Y":52.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["13.7"]},{"I":141,"V":["19.0"]},{"I":212,"V":["22.71588"]},{"I":213,"V":["4.730879"]}]}}}
[2025-08-19 01:15:02.825] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":476,"TS":"2025-08-18T20:44:57.175","TID":1,"PID":1,"M":42,"S":52,"PLID":199598,"PLUUID":"f1ma05bi3t1hfbflylx5d9tyh","PN":"E. Ampadu","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":84.2,"Y":-1.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["86.5"]},{"I":141,"V":["77.6"]},{"I":212,"V":["53.91012"]},{"I":213,"V":["1.525985"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00127502"]}]}}}
