[2025-08-23 21:18:41] Palma vs Vigo - C Values: {"T1_C": 9.7, "T2_C": 4.06, "T3_C": 1.42, "T4_C": 2.875, "T5_C": 1.26, "T6_C": 1.075, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 2.304, "T10_C": 1.616, "T11_C": 1.845, "T12_C": 1.96, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 1.845, "T181_C": 1.96}
[2025-08-23 22:14:51] Palma vs Vigo - C Values: {"T1_C": 63, "T2_C": 6, "T3_C": 1.125, "T4_C": 5.58, "T5_C": 1.125, "T6_C": 1.001, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 3.144, "T10_C": 1.36, "T11_C": 5.25, "T12_C": 1.16, "T13_C": 5.7, "T14_C": 1.14, "T180_C": 5.25, "T181_C": 1.16}
[2025-08-23 22:14:56] Palma vs Vigo - C Values: {"T1_C": 63, "T2_C": 6.5, "T3_C": 1.11, "T4_C": 5.98, "T5_C": 1.11, "T6_C": 1.001, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 3.32, "T10_C": 1.33, "T11_C": 5.25, "T12_C": 1.16, "T13_C": 5.7, "T14_C": 1.14, "T180_C": 5.25, "T181_C": 1.16}
[2025-08-23 22:15:27] Palma vs Vigo - C Values: {"T1_C": 76, "T2_C": 6.5, "T3_C": 1.11, "T4_C": 6.07, "T5_C": 1.11, "T6_C": 1.001, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 3.32, "T10_C": 1.33, "T11_C": 5.7, "T12_C": 1.14, "T13_C": 6.2, "T14_C": 1.12, "T180_C": 5.7, "T181_C": 1.14}
[2025-08-23 22:15:32] Palma vs Vigo - C Values: {"T1_C": 76, "T2_C": 7, "T3_C": 1.1, "T4_C": 6.48, "T5_C": 1.1, "T6_C": 1.001, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 3.32, "T10_C": 1.33, "T11_C": 5.7, "T12_C": 1.14, "T13_C": 6.2, "T14_C": 1.12, "T180_C": 5.7, "T181_C": 1.14}
[2025-08-23 22:16:08] Palma vs Vigo - C Values: {"T1_C": 76, "T2_C": 7, "T3_C": 1.1, "T4_C": 6.48, "T5_C": 1.1, "T6_C": 1.001, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 3.58, "T10_C": 1.29, "T11_C": 5.7, "T12_C": 1.14, "T13_C": 6.2, "T14_C": 1.12, "T180_C": 5.7, "T181_C": 1.14}
[2025-08-23 22:16:40] Palma vs Vigo - C Values: {"T1_C": 95, "T2_C": 7.5, "T3_C": 1.085, "T4_C": 7.04, "T5_C": 1.085, "T6_C": 1.001, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 3.7, "T10_C": 1.275, "T11_C": 6.2, "T12_C": 1.12, "T13_C": 6.65, "T14_C": 1.11, "T180_C": 6.2, "T181_C": 1.12}
[2025-08-23 22:16:52] Palma vs Vigo - C Values: {"T1_C": 95, "T2_C": 7.5, "T3_C": 1.085, "T4_C": 7.04, "T5_C": 1.085, "T6_C": 1.001, "T7_C": 1.8, "T8_C": 2.01, "T9_C": 3.7, "T10_C": 1.275, "T11_C": 6.2, "T12_C": 1.12, "T13_C": 6.65, "T14_C": 1.11, "T180_C": 6.2, "T181_C": 1.12}
[2025-08-23 22:16:59] Palma vs Vigo - C Values: {"T1_C": 95, "T2_C": 7.5, "T3_C": 1.085, "T4_C": 7.04, "T5_C": 1.085, "T6_C": 1.001, "T7_C": 1.82, "T8_C": 1.984, "T9_C": 3.7, "T10_C": 1.275, "T11_C": 6.2, "T12_C": 1.12, "T13_C": 6.65, "T14_C": 1.11, "T180_C": 6.2, "T181_C": 1.12}
[2025-08-23 22:17:22] Palma vs Vigo - C Values: {"T1_C": 95, "T2_C": 7.5, "T3_C": 1.085, "T4_C": 7.04, "T5_C": 1.085, "T6_C": 1.001, "T7_C": 1.82, "T8_C": 1.984, "T11_C": 6.2, "T12_C": 1.12, "T13_C": 6.65, "T14_C": 1.11, "T180_C": 6.2, "T181_C": 1.12}
[2025-08-23 22:17:28] Palma vs Vigo - C Values: {"T1_C": 8.9, "T2_C": 1.25, "T3_C": 7.1, "T4_C": 1.115, "T5_C": 3.97, "T6_C": 1.085, "T7_C": 2.304, "T8_C": 1.616, "T9_C": 3.92, "T10_C": 1.255, "T11_C": 7.5, "T12_C": 1.085, "T13_C": 5.7, "T14_C": 1.14, "T180_C": 6.41, "T181_C": 1.115}
[2025-08-23 22:17:34] Palma vs Vigo - C Values: {"T1_C": 8.9, "T2_C": 1.22, "T3_C": 8.3, "T4_C": 1.095, "T5_C": 4.3, "T6_C": 1.085, "T7_C": 2.04, "T8_C": 1.775, "T9_C": 4.3, "T10_C": 1.22, "T11_C": 7.5, "T12_C": 1.085, "T13_C": 6.65, "T14_C": 1.11, "T180_C": 6.41, "T181_C": 1.115}
[2025-08-23 22:17:40] Palma vs Vigo - C Values: {"T1_C": 8.9, "T2_C": 1.22, "T3_C": 8.3, "T4_C": 1.095, "T5_C": 4.3, "T6_C": 1.085, "T7_C": 2.04, "T8_C": 1.775, "T9_C": 4.06, "T10_C": 1.24, "T11_C": 7.5, "T12_C": 1.085, "T13_C": 6.65, "T14_C": 1.11, "T180_C": 6.57, "T181_C": 1.11}
[2025-08-23 22:17:47] Palma vs Vigo - C Values: {"T1_C": 8.9, "T2_C": 1.22, "T3_C": 8.3, "T4_C": 1.095, "T5_C": 4.3, "T6_C": 1.085, "T7_C": 2.04, "T8_C": 1.775, "T11_C": 7.5, "T12_C": 1.085, "T13_C": 6.65, "T14_C": 1.11, "T180_C": 6.57, "T181_C": 1.11}
[2025-08-23 22:17:52] Palma vs Vigo - C Values: {"T1_C": 8.9, "T2_C": 1.22, "T3_C": 8.3, "T4_C": 1.095, "T5_C": 4.3, "T6_C": 1.085, "T7_C": 2.04, "T8_C": 1.775, "T11_C": 7.5, "T12_C": 1.085, "T13_C": 6.65, "T14_C": 1.11}
[2025-08-23 22:18:10] Palma vs Vigo - C Values: {"T1_C": 8.9, "T2_C": 1.22, "T3_C": 8.3, "T4_C": 1.095, "T5_C": 4.3, "T6_C": 1.085, "T7_C": 2.04, "T8_C": 1.775, "T9_C": 4.42, "T10_C": 1.21, "T11_C": 8.5, "T12_C": 1.07, "T13_C": 6.65, "T14_C": 1.11}
[2025-08-23 22:18:23] Palma vs Vigo - C Values: {"T1_C": 9.2, "T2_C": 1.195, "T3_C": 9.2, "T4_C": 1.088, "T5_C": 4.62, "T6_C": 1.07, "T7_C": 2.04, "T8_C": 1.775, "T9_C": 4.42, "T10_C": 1.21, "T11_C": 8.5, "T12_C": 1.07, "T13_C": 6.65, "T14_C": 1.11}
[2025-08-23 22:18:30] Palma vs Vigo - C Values: {"T1_C": 9.5, "T2_C": 1.195, "T3_C": 8.9, "T4_C": 1.09, "T5_C": 4.63, "T6_C": 1.07, "T7_C": 2.04, "T8_C": 1.775, "T9_C": 4.42, "T10_C": 1.21, "T11_C": 8.5, "T12_C": 1.07, "T13_C": 6.65, "T14_C": 1.11}
[2025-08-23 22:18:47] Palma vs Vigo - C Values: {"T1_C": 9.5, "T2_C": 1.195, "T3_C": 8.9, "T4_C": 1.09, "T5_C": 4.63, "T6_C": 1.07, "T7_C": 2.04, "T8_C": 1.775, "T9_C": 4.42, "T10_C": 1.21, "T11_C": 8.5, "T12_C": 1.07, "T13_C": 7.5, "T14_C": 1.085}
[2025-08-23 22:19:10] Palma vs Vigo - C Values: {"T1_C": 8.6, "T2_C": 1.22, "T3_C": 8.6, "T4_C": 1.09, "T5_C": 4.3, "T6_C": 1.09, "T7_C": 1.9, "T8_C": 1.9, "T9_C": 4.42, "T10_C": 1.21, "T11_C": 7.5, "T12_C": 1.085, "T13_C": 7.5, "T14_C": 1.085}
[2025-08-23 22:19:21] Palma vs Vigo - C Values: {"T1_C": 8.7, "T2_C": 1.195, "T3_C": 9.8, "T4_C": 1.08, "T5_C": 4.62, "T6_C": 1.08, "T7_C": 1.845, "T8_C": 1.955, "T9_C": 4.42, "T10_C": 1.21, "T11_C": 7.5, "T12_C": 1.085, "T13_C": 7.5, "T14_C": 1.085}
[2025-08-23 22:19:28] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 1.175, "T3_C": 9.6, "T4_C": 1.08, "T5_C": 4.94, "T6_C": 1.06, "T7_C": 2.04, "T8_C": 1.775, "T9_C": 4.78, "T10_C": 1.184, "T11_C": 9.42, "T12_C": 1.056, "T13_C": 7.5, "T14_C": 1.085}
[2025-08-23 22:19:34] Palma vs Vigo - C Values: {"T1_C": 9.6, "T2_C": 1.175, "T3_C": 10, "T4_C": 1.075, "T5_C": 4.94, "T6_C": 1.07, "T7_C": 1.944, "T8_C": 1.856, "T9_C": 4.78, "T10_C": 1.184, "T11_C": 8.5, "T12_C": 1.07, "T13_C": 8.5, "T14_C": 1.07}
[2025-08-23 22:19:40] Palma vs Vigo - C Values: {"T1_C": 9.8, "T2_C": 1.175, "T3_C": 9.9, "T4_C": 1.075, "T5_C": 4.94, "T6_C": 1.064, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 4.78, "T10_C": 1.184, "T11_C": 9.42, "T12_C": 1.056, "T13_C": 7.5, "T14_C": 1.085}
[2025-08-23 22:19:46] Palma vs Vigo - C Values: {"T1_C": 9.8, "T2_C": 1.175, "T3_C": 9.9, "T4_C": 1.075, "T5_C": 4.94, "T6_C": 1.064, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 4.78, "T10_C": 1.184, "T11_C": 9.42, "T12_C": 1.056, "T13_C": 8.5, "T14_C": 1.07}
[2025-08-23 22:20:00] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 1.16, "T3_C": 10.5, "T4_C": 1.07, "T5_C": 5.24, "T6_C": 1.06, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 5.45, "T10_C": 1.15, "T11_C": 9.42, "T12_C": 1.056, "T13_C": 8.5, "T14_C": 1.07}
[2025-08-23 22:20:19] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 1.16, "T3_C": 10.5, "T4_C": 1.065, "T5_C": 5.24, "T6_C": 1.06, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 5.45, "T10_C": 1.15, "T11_C": 9.42, "T12_C": 1.056, "T13_C": 8.5, "T14_C": 1.07}
[2025-08-23 22:20:25] Palma vs Vigo - C Values: {"T1_C": 10.5, "T2_C": 1.16, "T3_C": 10, "T4_C": 1.07, "T5_C": 5.24, "T6_C": 1.056, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 5.45, "T10_C": 1.15, "T11_C": 9.42, "T12_C": 1.056, "T13_C": 8.5, "T14_C": 1.07}
[2025-08-23 22:20:38] Palma vs Vigo - C Values: {"T1_C": 16, "T2_C": 1.075, "T3_C": 15, "T4_C": 1.035, "T5_C": 7.99, "T6_C": 1.025, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 7, "T10_C": 1.1, "T11_C": 12.5, "T12_C": 1.025, "T13_C": 11.9, "T14_C": 1.03}
[2025-08-23 22:20:50] Palma vs Vigo - C Values: {"T1_C": 16, "T2_C": 1.075, "T3_C": 15, "T4_C": 1.035, "T5_C": 7.99, "T6_C": 1.025, "T7_C": 1.975, "T8_C": 1.83, "T11_C": 12.5, "T12_C": 1.025, "T13_C": 11.9, "T14_C": 1.03}
[2025-08-23 22:20:56] Palma vs Vigo - C Values: {"T1_C": 17, "T2_C": 1.07, "T3_C": 16, "T4_C": 1.03, "T5_C": 8.5, "T6_C": 1.025, "T7_C": 1.975, "T8_C": 1.83, "T11_C": 12.5, "T12_C": 1.025, "T13_C": 11.9, "T14_C": 1.03}
[2025-08-23 22:21:07] Palma vs Vigo - C Values: {"T1_C": 16, "T2_C": 1.065, "T3_C": 18, "T4_C": 1.025, "T5_C": 8.5, "T6_C": 1.025, "T7_C": 1.975, "T8_C": 1.83, "T11_C": 12.5, "T12_C": 1.025, "T13_C": 11.9, "T14_C": 1.03}
[2025-08-23 22:21:13] Palma vs Vigo - C Values: {"T1_C": 16, "T2_C": 1.065, "T3_C": 18, "T4_C": 1.025, "T5_C": 8.5, "T6_C": 1.025, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 8.3, "T10_C": 1.07, "T11_C": 12.5, "T12_C": 1.025, "T13_C": 11.9, "T14_C": 1.03}
[2025-08-23 22:21:19] Palma vs Vigo - C Values: {"T1_C": 17, "T2_C": 1.056, "T3_C": 20, "T4_C": 1.02, "T5_C": 9.42, "T6_C": 1.02, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 7.8, "T10_C": 1.08, "T11_C": 12.5, "T12_C": 1.025, "T13_C": 12.5, "T14_C": 1.025}
[2025-08-23 22:21:39] Palma vs Vigo - C Values: {"T1_C": 19, "T2_C": 1.056, "T3_C": 18, "T4_C": 1.025, "T5_C": 9.42, "T6_C": 1.02, "T7_C": 1.975, "T8_C": 1.83, "T11_C": 13.6, "T12_C": 1.02, "T13_C": 12.5, "T14_C": 1.025}
[2025-08-23 22:21:59] Palma vs Vigo - C Values: {"T1_C": 20, "T2_C": 1.04, "T3_C": 23, "T4_C": 1.016, "T5_C": 10.9, "T6_C": 1.016, "T7_C": 1.975, "T8_C": 1.83, "T11_C": 13.6, "T12_C": 1.02, "T13_C": 12.5, "T14_C": 1.025}
[2025-08-23 22:22:11] Palma vs Vigo - C Values: {"T1_C": 21, "T2_C": 1.04, "T3_C": 22, "T4_C": 1.016, "T5_C": 10.9, "T6_C": 1.01, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 9.1, "T10_C": 1.06, "T11_C": 14.3, "T12_C": 1.016, "T13_C": 13.6, "T14_C": 1.02}
[2025-08-23 22:22:17] Palma vs Vigo - C Values: {"T1_C": 22, "T2_C": 1.04, "T3_C": 22, "T4_C": 1.015, "T5_C": 11.7, "T6_C": 1.009, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 8.6, "T10_C": 1.065, "T11_C": 14.3, "T12_C": 1.016, "T13_C": 13.6, "T14_C": 1.02}
[2025-08-23 22:22:29] Palma vs Vigo - C Values: {"T1_C": 22, "T2_C": 1.04, "T3_C": 22, "T4_C": 1.015, "T5_C": 11.7, "T6_C": 1.009, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 9.3, "T10_C": 1.056}
[2025-08-23 22:22:43] Palma vs Vigo - C Values: {"T1_C": 24, "T2_C": 1.032, "T3_C": 21, "T4_C": 1.01, "T5_C": 12.5, "T6_C": 1.007, "T7_C": 2.03, "T8_C": 1.784, "T9_C": 9.3, "T10_C": 1.056}
[2025-08-23 22:23:02] Palma vs Vigo - C Values: {"T1_C": 25, "T2_C": 1.03, "T3_C": 22, "T4_C": 1.008, "T5_C": 13.3, "T6_C": 1.005, "T7_C": 2.03, "T8_C": 1.784, "T9_C": 10, "T10_C": 1.045}
[2025-08-23 22:23:22] Palma vs Vigo - C Values: {"T1_C": 26, "T2_C": 1.025, "T3_C": 23, "T4_C": 1.006, "T5_C": 14.1, "T6_C": 1.003, "T7_C": 2.03, "T8_C": 1.784}
[2025-08-23 22:23:34] Palma vs Vigo - C Values: {"T1_C": 26, "T2_C": 1.025, "T3_C": 23}
[2025-08-23 22:23:46] Palma vs Vigo - C Values: {"T1_C": 26, "T2_C": 1.02, "T3_C": 26}
[2025-08-23 22:24:04] Palma vs Vigo - C Values: {"T1_C": 29, "T2_C": 1.016, "T3_C": 27}
[2025-08-23 22:24:11] Palma vs Vigo - C Values: {"T1_C": 21, "T2_C": 1.03, "T3_C": 28}
[2025-08-23 22:24:22] Palma vs Vigo - C Values: {"T1_C": 29, "T2_C": 1.016, "T3_C": 27}
[2025-08-23 22:24:34] Palma vs Vigo - C Values: {"T1_C": 30, "T2_C": 1.016, "T3_C": 30}
[2025-08-23 22:24:52] Palma vs Vigo - C Values: {"T1_C": 26, "T2_C": 1.016, "T3_C": 23}
